Hydrophobicity cutoff,Blob length,Blob hydrophobicity class,total SNPs,Enrichment,p value,color
0.0,1,s,40,0.76,0.366,"rgb(255.0, 194.0, 194.0)"
0.0,3,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,4,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,5,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,6,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.0,8,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,9,s,3,2.54,0.187,"rgb(0.0, 0.0, 255.0)"
0.0,10,s,1,inf,0.0,"rgb(0.0, 0.0, 255.0)"
0.0,12,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,13,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,15,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.0,16,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.0,17,s,3,2.54,0.187,"rgb(0.0, 0.0, 255.0)"
0.0,18,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.0,19,s,7,1.69,0.308,"rgb(78.0, 78.0, 255.0)"
0.0,21,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.0,22,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,23,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,24,s,5,0.32,0.389,"rgb(255.0, 80.0, 80.0)"
0.0,26,s,8,0.0,0.00406,"rgb(255.0, 0.0, 0.0)"
0.0,27,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.0,28,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,29,s,7,7.61,0.000171,"rgb(0.0, 0.0, 255.0)"
0.0,30,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,33,s,4,1.27,0.674,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.0,34,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,35,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,36,s,5,5.07,0.00865,"rgb(0.0, 0.0, 255.0)"
0.0,37,s,11,1.52,0.302,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
0.0,38,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,40,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,41,s,7,0.51,0.453,"rgb(255.0, 130.0, 130.0)"
0.0,43,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.0,44,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.0,46,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.0,47,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,48,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.0,49,s,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.0,50,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,51,s,16,0.76,0.719,"rgb(255.0, 194.0, 194.0)"
0.0,52,s,10,2.96,0.0108,"rgb(0.0, 0.0, 255.0)"
0.0,53,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.0,54,s,11,0.48,0.232,"rgb(255.0, 121.99999999999999, 121.99999999999999)"
0.0,55,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,56,s,16,19.02,1.04e-14,"rgb(0.0, 0.0, 255.0)"
0.0,57,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.0,58,s,10,0.54,0.392,"rgb(255.0, 138.0, 138.0)"
0.0,59,s,6,0.25,0.201,"rgb(255.0, 64.0, 64.0)"
0.0,60,s,8,2.11,0.0917,"rgb(0.0, 0.0, 255.0)"
0.0,61,s,10,0.32,0.106,"rgb(255.0, 80.0, 80.0)"
0.0,62,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.0,63,s,15,0.2,0.00437,"rgb(255.0, 50.0, 50.0)"
0.0,64,s,6,0.63,0.777,"rgb(255.0, 160.0, 160.0)"
0.0,65,s,7,0.21,0.102,"rgb(255.0, 52.0, 52.0)"
0.0,67,s,8,0.18,0.0519,"rgb(255.0, 46.0, 46.0)"
0.0,68,s,15,0.32,0.0324,"rgb(255.0, 80.0, 80.0)"
0.0,69,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,70,s,12,0.63,0.545,"rgb(255.0, 160.0, 160.0)"
0.0,71,s,7,0.51,0.453,"rgb(255.0, 130.0, 130.0)"
0.0,72,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.0,73,s,7,0.21,0.102,"rgb(255.0, 52.0, 52.0)"
0.0,74,s,8,0.42,0.349,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.0,75,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,76,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.0,77,s,7,1.69,0.308,"rgb(78.0, 78.0, 255.0)"
0.0,78,s,21,0.13,7.89e-05,"rgb(255.0, 32.0, 32.0)"
0.0,79,s,14,0.7,0.572,"rgb(255.0, 178.0, 178.0)"
0.0,80,s,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.0,81,s,11,0.48,0.232,"rgb(255.0, 121.99999999999999, 121.99999999999999)"
0.0,82,s,11,1.52,0.302,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
