Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
2,0.0,0,0,0,,
4,0.0,0,0,0,,
5,0.0,0,0,0,,
6,0.0,2,0,2,inf,0.0
7,0.0,0,3,3,0.0,0.185
8,0.0,0,1,1,0.0,1.0
9,0.0,3,1,4,3.8,0.0458
10,0.0,0,0,0,,
11,0.0,0,2,2,0.0,0.417
13,0.0,0,0,0,,
14,0.0,0,5,5,0.0,0.0391
15,0.0,1,0,1,inf,0.0
16,0.0,1,0,1,inf,0.0
17,0.0,1,2,3,0.63,1.0
18,0.0,4,4,8,1.27,0.565
19,0.0,0,1,1,0.0,1.0
20,0.0,1,1,2,1.27,0.546
21,0.0,0,2,2,0.0,0.417
22,0.0,0,2,2,0.0,0.417
23,0.0,2,3,5,0.85,1.0
24,0.0,0,3,3,0.0,0.185
25,0.0,0,7,7,0.0,0.00859
27,0.0,2,2,4,1.27,0.674
28,0.0,0,0,0,,
29,0.0,0,2,2,0.0,0.417
30,0.0,0,0,0,,
31,0.0,0,1,1,0.0,1.0
32,0.0,2,2,4,1.27,0.674
33,0.0,0,2,2,0.0,0.417
34,0.0,0,2,2,0.0,0.417
35,0.0,4,3,7,1.69,0.308
36,0.0,6,4,10,1.9,0.143
37,0.0,1,0,1,inf,0.0
38,0.0,1,0,1,inf,0.0
39,0.0,0,2,2,0.0,0.417
40,0.0,1,4,5,0.32,0.389
41,0.0,1,4,5,0.32,0.389
42,0.0,0,2,2,0.0,0.417
43,0.0,1,1,2,1.27,0.546
44,0.0,1,2,3,0.63,1.0
45,0.0,0,3,3,0.0,0.185
47,0.0,0,6,6,0.0,0.0183
48,0.0,0,4,4,0.0,0.0846
49,0.0,0,2,2,0.0,0.417
50,0.0,2,9,11,0.28,0.0572
51,0.0,6,3,9,2.54,0.0337
52,0.0,4,5,9,1.01,0.802
53,0.0,1,4,5,0.32,0.389
54,0.0,1,3,4,0.42,0.737
55,0.0,13,0,13,inf,0.0
56,0.0,2,5,7,0.51,0.453
57,0.0,7,3,10,2.96,0.0108
58,0.0,0,4,4,0.0,0.0846
59,0.0,0,5,5,0.0,0.0391
60,0.0,2,2,4,1.27,0.674
61,0.0,0,7,7,0.0,0.00859
62,0.0,1,15,16,0.08,0.000199
63,0.0,2,6,8,0.42,0.349
64,0.0,1,4,5,0.32,0.389
65,0.0,0,12,12,0.0,0.00013
66,0.0,2,4,6,0.63,0.777
68,0.0,2,7,9,0.36,0.194
69,0.0,0,3,3,0.0,0.185
70,0.0,2,10,12,0.25,0.0304
71,0.0,2,3,5,0.85,1.0
72,0.0,1,3,4,0.42,0.737
73,0.0,1,10,11,0.13,0.00657
74,0.0,1,4,5,0.32,0.389
75,0.0,0,5,5,0.0,0.0391
76,0.0,4,8,12,0.63,0.545
77,0.0,2,10,12,0.25,0.0304
78,0.0,1,12,13,0.11,0.00163
79,0.0,4,11,15,0.46,0.126
80,0.0,3,7,10,0.54,0.392
81,0.0,3,9,12,0.42,0.182
82,0.0,3,3,6,1.27,0.515
