Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
2,0.0,3,4,7,0.95,1.0
4,0.0,0,1,1,0.0,1.0
5,0.0,0,1,1,0.0,1.0
6,0.0,1,1,2,1.27,0.546
7,0.0,0,0,0,,
8,0.0,0,3,3,0.0,0.185
9,0.0,2,1,3,2.54,0.187
10,0.0,1,0,1,inf,0.0
11,0.0,2,1,3,2.54,0.187
13,0.0,0,1,1,0.0,1.0
14,0.0,0,0,0,,
15,0.0,0,4,4,0.0,0.0846
16,0.0,1,1,2,1.27,0.546
17,0.0,2,1,3,2.54,0.187
18,0.0,1,2,3,0.63,1.0
19,0.0,4,3,7,1.69,0.308
20,0.0,0,0,0,,
21,0.0,1,1,2,1.27,0.546
22,0.0,0,2,2,0.0,0.417
23,0.0,0,3,3,0.0,0.185
24,0.0,1,3,4,0.42,0.737
25,0.0,2,0,2,inf,0.0
27,0.0,0,5,5,0.0,0.0391
28,0.0,0,3,3,0.0,0.185
29,0.0,6,1,7,7.61,0.000171
30,0.0,0,1,1,0.0,1.0
31,0.0,0,0,0,,
32,0.0,0,0,0,,
33,0.0,2,2,4,1.27,0.674
34,0.0,0,2,2,0.0,0.417
35,0.0,0,2,2,0.0,0.417
36,0.0,4,1,5,5.07,0.00865
37,0.0,6,5,11,1.52,0.302
38,0.0,0,2,2,0.0,0.417
39,0.0,0,0,0,,
40,0.0,0,2,2,0.0,0.417
41,0.0,2,4,6,0.63,0.777
42,0.0,0,0,0,,
43,0.0,1,2,3,0.63,1.0
44,0.0,1,1,2,1.27,0.546
45,0.0,1,1,2,1.27,0.546
47,0.0,0,3,3,0.0,0.185
48,0.0,0,2,2,0.0,0.417
49,0.0,0,6,6,0.0,0.0183
50,0.0,0,3,3,0.0,0.185
51,0.0,5,9,14,0.7,0.572
52,0.0,4,1,5,5.07,0.00865
53,0.0,1,2,3,0.63,1.0
54,0.0,3,8,11,0.48,0.232
55,0.0,0,2,2,0.0,0.417
56,0.0,13,1,14,16.48,3.53e-12
57,0.0,0,3,3,0.0,0.185
58,0.0,3,5,8,0.76,1.0
59,0.0,1,3,4,0.42,0.737
60,0.0,5,3,8,2.11,0.0917
61,0.0,2,2,4,1.27,0.674
62,0.0,0,0,0,,
63,0.0,2,10,12,0.25,0.0304
64,0.0,1,4,5,0.32,0.389
65,0.0,1,3,4,0.42,0.737
66,0.0,0,6,6,0.0,0.0183
68,0.0,1,5,6,0.25,0.201
69,0.0,0,1,1,0.0,1.0
70,0.0,2,4,6,0.63,0.777
71,0.0,0,4,4,0.0,0.0846
72,0.0,0,2,2,0.0,0.417
73,0.0,1,1,2,1.27,0.546
74,0.0,1,3,4,0.42,0.737
75,0.0,0,2,2,0.0,0.417
76,0.0,0,4,4,0.0,0.0846
77,0.0,4,3,7,1.69,0.308
78,0.0,2,12,14,0.21,0.0084
79,0.0,1,2,3,0.63,1.0
80,0.0,0,3,3,0.0,0.185
81,0.0,3,5,8,0.76,1.0
82,0.0,3,4,7,0.95,1.0
83,0.0,0,3,3,0.0,0.185
84,0.0,8,2,10,5.07,0.000237
85,0.0,0,4,4,0.0,0.0846
86,0.0,0,3,3,0.0,0.185
87,0.0,0,3,3,0.0,0.185
88,0.0,1,4,5,0.32,0.389
89,0.0,2,3,5,0.85,1.0
90,0.0,0,4,4,0.0,0.0846
91,0.0,0,0,0,,
92,0.0,1,9,10,0.14,0.0131
93,0.0,0,2,2,0.0,0.417
94,0.0,5,3,8,2.11,0.0917
95,0.0,0,2,2,0.0,0.417
96,0.0,2,1,3,2.54,0.187
97,0.0,1,5,6,0.25,0.201
98,0.0,0,3,3,0.0,0.185
99,0.0,2,4,6,0.63,0.777
100,0.0,0,8,8,0.0,0.00406
2,0.01,3,4,7,0.95,1.0
4,0.01,0,1,1,0.0,1.0
5,0.01,0,1,1,0.0,1.0
6,0.01,1,1,2,1.27,0.546
7,0.01,0,0,0,,
8,0.01,0,3,3,0.0,0.185
9,0.01,2,1,3,2.54,0.187
10,0.01,1,0,1,inf,0.0
11,0.01,2,1,3,2.54,0.187
13,0.01,0,1,1,0.0,1.0
14,0.01,0,0,0,,
15,0.01,0,4,4,0.0,0.0846
16,0.01,1,1,2,1.27,0.546
17,0.01,2,1,3,2.54,0.187
18,0.01,1,2,3,0.63,1.0
19,0.01,4,3,7,1.69,0.308
20,0.01,0,0,0,,
21,0.01,1,1,2,1.27,0.546
22,0.01,0,2,2,0.0,0.417
23,0.01,0,3,3,0.0,0.185
24,0.01,1,3,4,0.42,0.737
25,0.01,2,0,2,inf,0.0
27,0.01,0,5,5,0.0,0.0391
28,0.01,0,3,3,0.0,0.185
29,0.01,6,1,7,7.61,0.000171
30,0.01,0,1,1,0.0,1.0
31,0.01,0,0,0,,
32,0.01,0,0,0,,
33,0.01,2,2,4,1.27,0.674
34,0.01,0,2,2,0.0,0.417
35,0.01,0,2,2,0.0,0.417
36,0.01,4,1,5,5.07,0.00865
37,0.01,6,5,11,1.52,0.302
38,0.01,0,2,2,0.0,0.417
39,0.01,0,0,0,,
40,0.01,0,2,2,0.0,0.417
41,0.01,2,4,6,0.63,0.777
42,0.01,0,0,0,,
43,0.01,1,2,3,0.63,1.0
44,0.01,1,1,2,1.27,0.546
45,0.01,1,1,2,1.27,0.546
47,0.01,0,3,3,0.0,0.185
48,0.01,0,2,2,0.0,0.417
49,0.01,0,6,6,0.0,0.0183
50,0.01,0,3,3,0.0,0.185
51,0.01,5,9,14,0.7,0.572
52,0.01,4,1,5,5.07,0.00865
53,0.01,1,2,3,0.63,1.0
54,0.01,3,8,11,0.48,0.232
55,0.01,0,2,2,0.0,0.417
56,0.01,13,1,14,16.48,3.53e-12
57,0.01,0,3,3,0.0,0.185
58,0.01,3,5,8,0.76,1.0
59,0.01,1,3,4,0.42,0.737
60,0.01,5,3,8,2.11,0.0917
61,0.01,2,2,4,1.27,0.674
62,0.01,0,0,0,,
63,0.01,2,10,12,0.25,0.0304
64,0.01,1,4,5,0.32,0.389
65,0.01,1,3,4,0.42,0.737
66,0.01,0,6,6,0.0,0.0183
68,0.01,1,5,6,0.25,0.201
69,0.01,0,1,1,0.0,1.0
70,0.01,2,4,6,0.63,0.777
71,0.01,0,4,4,0.0,0.0846
72,0.01,0,2,2,0.0,0.417
73,0.01,1,1,2,1.27,0.546
74,0.01,1,3,4,0.42,0.737
75,0.01,0,2,2,0.0,0.417
76,0.01,0,4,4,0.0,0.0846
77,0.01,4,3,7,1.69,0.308
78,0.01,2,12,14,0.21,0.0084
79,0.01,1,2,3,0.63,1.0
80,0.01,0,3,3,0.0,0.185
81,0.01,3,5,8,0.76,1.0
82,0.01,3,4,7,0.95,1.0
83,0.01,0,3,3,0.0,0.185
84,0.01,8,2,10,5.07,0.000237
85,0.01,0,4,4,0.0,0.0846
86,0.01,0,3,3,0.0,0.185
87,0.01,0,3,3,0.0,0.185
88,0.01,1,4,5,0.32,0.389
89,0.01,2,3,5,0.85,1.0
90,0.01,0,4,4,0.0,0.0846
91,0.01,0,0,0,,
92,0.01,1,9,10,0.14,0.0131
93,0.01,0,2,2,0.0,0.417
94,0.01,5,3,8,2.11,0.0917
95,0.01,0,2,2,0.0,0.417
96,0.01,2,1,3,2.54,0.187
97,0.01,1,5,6,0.25,0.201
98,0.01,0,3,3,0.0,0.185
99,0.01,2,4,6,0.63,0.777
100,0.01,0,8,8,0.0,0.00406
2,0.02,14,12,26,1.48,0.141
4,0.02,0,3,3,0.0,0.185
5,0.02,0,1,1,0.0,1.0
6,0.02,1,2,3,0.63,1.0
7,0.02,0,2,2,0.0,0.417
8,0.02,4,4,8,1.27,0.565
9,0.02,2,1,3,2.54,0.187
10,0.02,1,3,4,0.42,0.737
11,0.02,2,2,4,1.27,0.674
13,0.02,1,1,2,1.27,0.546
14,0.02,0,3,3,0.0,0.185
15,0.02,1,8,9,0.16,0.0262
16,0.02,5,4,9,1.58,0.254
17,0.02,2,3,5,0.85,1.0
18,0.02,1,5,6,0.25,0.201
19,0.02,6,5,11,1.52,0.302
20,0.02,1,1,2,1.27,0.546
21,0.02,4,9,13,0.56,0.344
22,0.02,0,6,6,0.0,0.0183
23,0.02,2,8,10,0.32,0.106
24,0.02,1,8,9,0.16,0.0262
25,0.02,6,5,11,1.52,0.302
27,0.02,1,10,11,0.13,0.00657
28,0.02,2,10,12,0.25,0.0304
29,0.02,8,8,16,1.27,0.425
30,0.02,0,9,9,0.0,0.00193
31,0.02,1,3,4,0.42,0.737
32,0.02,0,12,12,0.0,0.00013
33,0.02,7,5,12,1.77,0.124
34,0.02,1,8,9,0.16,0.0262
35,0.02,7,9,16,0.99,1.0
36,0.02,3,5,8,0.76,1.0
37,0.02,4,9,13,0.56,0.344
38,0.02,9,4,13,2.85,0.00523
39,0.02,1,3,4,0.42,0.737
40,0.02,3,6,9,0.63,0.642
41,0.02,4,9,13,0.56,0.344
42,0.02,20,4,24,6.34,1.96e-10
43,0.02,3,6,9,0.63,0.642
44,0.02,3,9,12,0.42,0.182
45,0.02,1,6,7,0.21,0.102
47,0.02,3,10,13,0.38,0.104
48,0.02,1,5,6,0.25,0.201
49,0.02,2,9,11,0.28,0.0572
50,0.02,0,16,16,0.0,6.73e-06
51,0.02,6,14,20,0.54,0.172
52,0.02,4,7,11,0.72,0.671
53,0.02,4,6,10,0.85,1.0
54,0.02,7,18,25,0.49,0.0611
55,0.02,7,9,16,0.99,1.0
56,0.02,14,11,25,1.61,0.0853
57,0.02,14,16,30,1.11,0.671
58,0.02,25,14,39,2.26,0.000226
59,0.02,25,11,36,2.88,4.68e-06
60,0.02,3,3,6,1.27,0.515
61,0.02,7,11,18,0.81,0.733
62,0.02,8,2,10,5.07,0.000237
63,0.02,6,19,25,0.4,0.0138
64,0.02,12,13,25,1.17,0.531
65,0.02,2,8,10,0.32,0.106
66,0.02,3,14,17,0.27,0.00962
68,0.02,1,9,10,0.14,0.0131
69,0.02,0,3,3,0.0,0.185
70,0.02,4,7,11,0.72,0.671
71,0.02,1,6,7,0.21,0.102
72,0.02,0,4,4,0.0,0.0846
73,0.02,1,16,17,0.08,9.89e-05
74,0.02,1,17,18,0.07,4.9e-05
75,0.02,10,13,23,0.98,1.0
76,0.02,14,7,21,2.54,0.00174
77,0.02,4,9,13,0.56,0.344
78,0.02,6,29,35,0.26,5.86e-05
79,0.02,7,8,15,1.11,0.689
80,0.02,1,11,12,0.12,0.00328
81,0.02,5,10,15,0.63,0.375
82,0.02,3,2,5,1.9,0.211
83,0.02,2,17,19,0.15,0.000305
84,0.02,14,5,19,3.55,6.58e-05
85,0.02,3,9,12,0.42,0.182
86,0.02,0,10,10,0.0,0.000925
87,0.02,0,10,10,0.0,0.000925
88,0.02,3,12,15,0.32,0.0324
89,0.02,4,18,22,0.28,0.00314
90,0.02,13,6,19,2.75,0.00126
91,0.02,4,7,11,0.72,0.671
92,0.02,1,13,14,0.1,0.00081
93,0.02,1,15,16,0.08,0.000199
94,0.02,9,11,20,1.04,0.864
95,0.02,4,3,7,1.69,0.308
96,0.02,6,4,10,1.9,0.143
97,0.02,3,9,12,0.42,0.182
98,0.02,2,9,11,0.28,0.0572
99,0.02,2,16,18,0.16,0.000597
100,0.02,0,8,8,0.0,0.00406
2,0.03,14,12,26,1.48,0.141
4,0.03,0,3,3,0.0,0.185
5,0.03,0,1,1,0.0,1.0
6,0.03,1,2,3,0.63,1.0
7,0.03,0,2,2,0.0,0.417
8,0.03,4,4,8,1.27,0.565
9,0.03,2,1,3,2.54,0.187
10,0.03,1,3,4,0.42,0.737
11,0.03,2,2,4,1.27,0.674
13,0.03,1,1,2,1.27,0.546
14,0.03,0,3,3,0.0,0.185
15,0.03,1,8,9,0.16,0.0262
16,0.03,5,4,9,1.58,0.254
17,0.03,2,3,5,0.85,1.0
18,0.03,1,5,6,0.25,0.201
19,0.03,6,5,11,1.52,0.302
20,0.03,1,1,2,1.27,0.546
21,0.03,4,9,13,0.56,0.344
22,0.03,0,6,6,0.0,0.0183
23,0.03,2,8,10,0.32,0.106
24,0.03,1,8,9,0.16,0.0262
25,0.03,6,5,11,1.52,0.302
27,0.03,1,10,11,0.13,0.00657
28,0.03,2,10,12,0.25,0.0304
29,0.03,8,8,16,1.27,0.425
30,0.03,0,9,9,0.0,0.00193
31,0.03,1,3,4,0.42,0.737
32,0.03,0,12,12,0.0,0.00013
33,0.03,7,5,12,1.77,0.124
34,0.03,1,8,9,0.16,0.0262
35,0.03,7,9,16,0.99,1.0
36,0.03,3,5,8,0.76,1.0
37,0.03,4,9,13,0.56,0.344
38,0.03,9,4,13,2.85,0.00523
39,0.03,1,3,4,0.42,0.737
40,0.03,3,6,9,0.63,0.642
41,0.03,4,9,13,0.56,0.344
42,0.03,20,4,24,6.34,1.96e-10
43,0.03,3,6,9,0.63,0.642
44,0.03,3,9,12,0.42,0.182
45,0.03,1,6,7,0.21,0.102
47,0.03,3,10,13,0.38,0.104
48,0.03,1,5,6,0.25,0.201
49,0.03,2,9,11,0.28,0.0572
50,0.03,0,16,16,0.0,6.73e-06
51,0.03,6,14,20,0.54,0.172
52,0.03,4,7,11,0.72,0.671
53,0.03,4,6,10,0.85,1.0
54,0.03,7,18,25,0.49,0.0611
55,0.03,7,9,16,0.99,1.0
56,0.03,14,11,25,1.61,0.0853
57,0.03,14,16,30,1.11,0.671
58,0.03,25,14,39,2.26,0.000226
59,0.03,25,11,36,2.88,4.68e-06
60,0.03,3,3,6,1.27,0.515
61,0.03,7,11,18,0.81,0.733
62,0.03,8,2,10,5.07,0.000237
63,0.03,6,19,25,0.4,0.0138
64,0.03,12,13,25,1.17,0.531
65,0.03,2,8,10,0.32,0.106
66,0.03,3,14,17,0.27,0.00962
68,0.03,1,9,10,0.14,0.0131
69,0.03,0,3,3,0.0,0.185
70,0.03,4,7,11,0.72,0.671
71,0.03,1,6,7,0.21,0.102
72,0.03,0,4,4,0.0,0.0846
73,0.03,1,16,17,0.08,9.89e-05
74,0.03,1,17,18,0.07,4.9e-05
75,0.03,10,13,23,0.98,1.0
76,0.03,14,7,21,2.54,0.00174
77,0.03,4,9,13,0.56,0.344
78,0.03,6,29,35,0.26,5.86e-05
79,0.03,7,8,15,1.11,0.689
80,0.03,1,11,12,0.12,0.00328
81,0.03,5,10,15,0.63,0.375
82,0.03,3,2,5,1.9,0.211
83,0.03,2,17,19,0.15,0.000305
84,0.03,14,5,19,3.55,6.58e-05
85,0.03,3,9,12,0.42,0.182
86,0.03,0,10,10,0.0,0.000925
87,0.03,0,10,10,0.0,0.000925
88,0.03,3,12,15,0.32,0.0324
89,0.03,4,18,22,0.28,0.00314
90,0.03,13,6,19,2.75,0.00126
91,0.03,4,7,11,0.72,0.671
92,0.03,1,13,14,0.1,0.00081
93,0.03,1,15,16,0.08,0.000199
94,0.03,9,11,20,1.04,0.864
95,0.03,4,3,7,1.69,0.308
96,0.03,6,4,10,1.9,0.143
97,0.03,3,9,12,0.42,0.182
98,0.03,2,9,11,0.28,0.0572
99,0.03,2,16,18,0.16,0.000597
100,0.03,0,8,8,0.0,0.00406
2,0.04,66,75,141,1.12,0.362
4,0.04,7,11,18,0.81,0.733
5,0.04,6,12,18,0.63,0.328
6,0.04,12,13,25,1.17,0.531
7,0.04,6,8,14,0.95,1.0
8,0.04,10,11,21,1.15,0.608
9,0.04,9,15,24,0.76,0.558
10,0.04,7,12,19,0.74,0.517
11,0.04,11,8,19,1.74,0.07
13,0.04,8,9,17,1.13,0.704
14,0.04,15,10,25,1.9,0.0188
15,0.04,3,17,20,0.22,0.00147
16,0.04,8,23,31,0.44,0.0131
17,0.04,12,19,31,0.8,0.519
18,0.04,2,19,21,0.13,7.89e-05
19,0.04,13,18,31,0.92,0.894
20,0.04,7,18,25,0.49,0.0611
21,0.04,16,27,43,0.75,0.327
22,0.04,11,25,36,0.56,0.054
23,0.04,8,36,44,0.28,1.28e-05
24,0.04,20,31,51,0.82,0.418
25,0.04,8,20,28,0.51,0.0568
27,0.04,15,24,39,0.79,0.421
28,0.04,13,32,45,0.52,0.0123
29,0.04,14,28,42,0.63,0.0881
30,0.04,17,27,44,0.8,0.446
31,0.04,5,21,26,0.3,0.00189
32,0.04,6,35,41,0.22,1.43e-06
33,0.04,14,32,46,0.55,0.0216
34,0.04,25,29,54,1.09,0.601
35,0.04,7,31,38,0.29,6.69e-05
36,0.04,24,26,50,1.17,0.438
37,0.04,12,30,42,0.51,0.0131
38,0.04,10,24,34,0.53,0.0377
39,0.04,13,26,39,0.63,0.12
40,0.04,18,27,45,0.85,0.587
41,0.04,24,35,59,0.87,0.567
42,0.04,28,31,59,1.15,0.477
43,0.04,7,28,35,0.32,0.000386
44,0.04,36,36,72,1.27,0.158
45,0.04,12,29,41,0.52,0.0206
47,0.04,14,41,55,0.43,0.000546
48,0.04,4,38,42,0.13,7.66e-09
49,0.04,12,19,31,0.8,0.519
50,0.04,6,25,31,0.3,0.000637
51,0.04,22,60,82,0.46,5.87e-05
52,0.04,7,28,35,0.32,0.000386
53,0.04,17,31,48,0.7,0.155
54,0.04,18,25,43,0.91,0.821
55,0.04,35,43,78,1.03,0.797
56,0.04,19,33,52,0.73,0.201
57,0.04,11,39,50,0.36,8.98e-05
58,0.04,21,47,68,0.57,0.00644
59,0.04,50,26,76,2.44,2.75e-08
60,0.04,52,29,81,2.27,1.53e-07
61,0.04,18,38,56,0.6,0.0276
62,0.04,30,24,54,1.58,0.0153
63,0.04,27,39,66,0.88,0.588
64,0.04,39,37,76,1.34,0.0774
65,0.04,9,30,39,0.38,0.000942
66,0.04,14,33,47,0.54,0.014
68,0.04,25,35,60,0.91,0.703
