Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
1,0.0,15,25,40,0.76,0.366
3,0.0,0,1,1,0.0,1.0
4,0.0,0,1,1,0.0,1.0
5,0.0,0,1,1,0.0,1.0
6,0.0,1,1,2,1.27,0.546
7,0.0,0,0,0,,
8,0.0,0,3,3,0.0,0.185
9,0.0,2,1,3,2.54,0.187
10,0.0,1,0,1,inf,0.0
12,0.0,0,2,2,0.0,0.417
13,0.0,0,1,1,0.0,1.0
14,0.0,0,0,0,,
15,0.0,0,4,4,0.0,0.0846
16,0.0,1,1,2,1.27,0.546
17,0.0,2,1,3,2.54,0.187
18,0.0,1,2,3,0.63,1.0
19,0.0,4,3,7,1.69,0.308
20,0.0,0,0,0,,
21,0.0,1,1,2,1.27,0.546
22,0.0,0,2,2,0.0,0.417
23,0.0,0,3,3,0.0,0.185
24,0.0,1,4,5,0.32,0.389
26,0.0,0,8,8,0.0,0.00406
27,0.0,0,5,5,0.0,0.0391
28,0.0,0,3,3,0.0,0.185
29,0.0,6,1,7,7.61,0.000171
30,0.0,0,1,1,0.0,1.0
31,0.0,0,0,0,,
32,0.0,0,0,0,,
33,0.0,2,2,4,1.27,0.674
34,0.0,0,2,2,0.0,0.417
35,0.0,0,2,2,0.0,0.417
36,0.0,4,1,5,5.07,0.00865
37,0.0,6,5,11,1.52,0.302
38,0.0,0,2,2,0.0,0.417
39,0.0,0,0,0,,
40,0.0,0,2,2,0.0,0.417
41,0.0,2,5,7,0.51,0.453
42,0.0,0,0,0,,
43,0.0,1,2,3,0.63,1.0
44,0.0,1,2,3,0.63,1.0
46,0.0,0,4,4,0.0,0.0846
47,0.0,0,3,3,0.0,0.185
48,0.0,0,4,4,0.0,0.0846
49,0.0,0,6,6,0.0,0.0183
50,0.0,0,3,3,0.0,0.185
51,0.0,6,10,16,0.76,0.719
52,0.0,7,3,10,2.96,0.0108
53,0.0,1,2,3,0.63,1.0
54,0.0,3,8,11,0.48,0.232
55,0.0,0,2,2,0.0,0.417
56,0.0,15,1,16,19.02,1.04e-14
57,0.0,0,5,5,0.0,0.0391
58,0.0,3,7,10,0.54,0.392
59,0.0,1,5,6,0.25,0.201
60,0.0,5,3,8,2.11,0.0917
61,0.0,2,8,10,0.32,0.106
62,0.0,0,4,4,0.0,0.0846
63,0.0,2,13,15,0.2,0.00437
64,0.0,2,4,6,0.63,0.777
65,0.0,1,6,7,0.21,0.102
67,0.0,1,7,8,0.18,0.0519
68,0.0,3,12,15,0.32,0.0324
69,0.0,0,2,2,0.0,0.417
70,0.0,4,8,12,0.63,0.545
71,0.0,2,5,7,0.51,0.453
72,0.0,0,5,5,0.0,0.0391
73,0.0,1,6,7,0.21,0.102
74,0.0,2,6,8,0.42,0.349
75,0.0,0,2,2,0.0,0.417
76,0.0,0,5,5,0.0,0.0391
77,0.0,4,3,7,1.69,0.308
