Hydrophobicity cutoff,Blob length,Blob hydrophobicity class,total SNPs,Enrichment,p value,color
0.0,2,p,7,0.95,1.0,"rgb(24.0, 24.0, 255.0)"
0.0,4,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,5,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,6,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.0,8,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,9,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.0,10,p,1,inf,0.0,"rgb(255, 0, 0)"
0.0,11,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.0,13,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,15,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.0,16,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.0,17,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.0,18,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.0,19,p,7,1.69,0.308,"rgb(255, 0, 0)"
0.0,21,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.0,22,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,23,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,24,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.0,25,p,2,inf,0.0,"rgb(255, 0, 0)"
0.0,27,p,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.0,28,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,29,p,7,7.61,0.000171,"rgb(255, 0, 0)"
0.0,30,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,33,p,4,1.27,0.674,"rgb(255, 0, 0)"
0.0,34,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,35,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,36,p,5,5.07,0.00865,"rgb(255, 0, 0)"
0.0,37,p,11,1.52,0.302,"rgb(255, 0, 0)"
0.0,38,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,40,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,41,p,6,0.63,0.777,"rgb(188.0, 188.0, 255.0)"
0.0,43,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.0,44,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.0,45,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.0,47,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,48,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,49,p,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.0,50,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,51,p,14,0.7,0.572,"rgb(152.0, 152.0, 255.0)"
0.0,52,p,5,5.07,0.00865,"rgb(255, 0, 0)"
0.0,53,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.0,54,p,11,0.48,0.232,"rgb(255.0, 243.99999999999997, 243.99999999999997)"
0.0,55,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,56,p,14,16.48,3.53e-12,"rgb(255, 0, 0)"
0.0,57,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,58,p,8,0.76,1.0,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
0.0,59,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.0,60,p,8,2.11,0.0917,"rgb(255, 0, 0)"
0.0,61,p,4,1.27,0.674,"rgb(255, 0, 0)"
0.0,63,p,12,0.25,0.0304,"rgb(255.0, 128.0, 128.0)"
0.0,64,p,5,0.32,0.389,"rgb(255.0, 162.0, 162.0)"
0.0,65,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.0,66,p,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.0,68,p,6,0.25,0.201,"rgb(255.0, 128.0, 128.0)"
0.0,69,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,70,p,6,0.63,0.777,"rgb(188.0, 188.0, 255.0)"
0.0,71,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.0,72,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,73,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.0,74,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.0,75,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,76,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.0,77,p,7,1.69,0.308,"rgb(255, 0, 0)"
0.0,78,p,14,0.21,0.0084,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.0,79,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.0,80,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,81,p,8,0.76,1.0,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
0.0,82,p,7,0.95,1.0,"rgb(24.0, 24.0, 255.0)"
0.0,83,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,84,p,10,5.07,0.000237,"rgb(255, 0, 0)"
0.0,85,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.0,86,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,87,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,88,p,5,0.32,0.389,"rgb(255.0, 162.0, 162.0)"
0.0,89,p,5,0.85,1.0,"rgb(76.00000000000001, 76.00000000000001, 255.0)"
0.0,90,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.0,92,p,10,0.14,0.0131,"rgb(255.0, 70.0, 70.0)"
0.0,93,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,94,p,8,2.11,0.0917,"rgb(255, 0, 0)"
0.0,95,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.0,96,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.0,97,p,6,0.25,0.201,"rgb(255.0, 128.0, 128.0)"
0.0,98,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.0,99,p,6,0.63,0.777,"rgb(188.0, 188.0, 255.0)"
0.0,100,p,8,0.0,0.00406,"rgb(255.0, 0.0, 0.0)"
0.01,2,p,7,0.95,1.0,"rgb(24.0, 24.0, 255.0)"
0.01,4,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,5,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,6,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.01,8,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,9,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.01,10,p,1,inf,0.0,"rgb(255, 0, 0)"
0.01,11,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.01,13,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,15,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.01,16,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.01,17,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.01,18,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.01,19,p,7,1.69,0.308,"rgb(255, 0, 0)"
0.01,21,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.01,22,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,23,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,24,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.01,25,p,2,inf,0.0,"rgb(255, 0, 0)"
0.01,27,p,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.01,28,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,29,p,7,7.61,0.000171,"rgb(255, 0, 0)"
0.01,30,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,33,p,4,1.27,0.674,"rgb(255, 0, 0)"
0.01,34,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,35,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,36,p,5,5.07,0.00865,"rgb(255, 0, 0)"
0.01,37,p,11,1.52,0.302,"rgb(255, 0, 0)"
0.01,38,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,40,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,41,p,6,0.63,0.777,"rgb(188.0, 188.0, 255.0)"
0.01,43,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.01,44,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.01,45,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.01,47,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,48,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,49,p,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.01,50,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,51,p,14,0.7,0.572,"rgb(152.0, 152.0, 255.0)"
0.01,52,p,5,5.07,0.00865,"rgb(255, 0, 0)"
0.01,53,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.01,54,p,11,0.48,0.232,"rgb(255.0, 243.99999999999997, 243.99999999999997)"
0.01,55,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,56,p,14,16.48,3.53e-12,"rgb(255, 0, 0)"
0.01,57,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,58,p,8,0.76,1.0,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
0.01,59,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.01,60,p,8,2.11,0.0917,"rgb(255, 0, 0)"
0.01,61,p,4,1.27,0.674,"rgb(255, 0, 0)"
